nama_parfum,brand,description,notes,url_foto,aroma_type,time,occasion,gender,shopee_link,tokopedia_link,tiktok_link,notes;;;;
Han's olfactive interpretation of an angelic fall starts with mandarin doused rose,ylang,and neroli. The fresh opening is contrasted with a heart of indolic jasmine,ripe and just starting to wilt. Its gloriously smoky base includes crisp frankincense along with smoldering cade,oud and cedar woods.Â Patchouli,tonka and labdanum add a dimension of soft earthiness.;;;;,,,,,,,
Dryad is a sylvan fantasy of friendly trees linking their branches together to form a sunlit,green canopy over your head. Although far sexier and more ruggedly outdoorsy than anything from Guerlain or Dior,fans of vintage Vol de Nuit and Miss Dior will still feel a thrill of recognition at Dyrad's damp,mossy heart of galbanum,narcissus and an overdose of genuine oakmoss. ;;;;,,,,,,,,
Widian uses the images and stories of Dalma Island as inspiration for one of its softest,sweetest compositions yet. Leather and marshmallow shape a base that is as delicious as it is fresh. It creates the foundation for Delma's creaminess,which never crosses fully into the gourmand category,but rather is contrasted by resinous guaiac and fresh green galbanum. The peach-laced floral heart of the composition is balanced by a dusting of saffron and nutmeg. ;;;;,,,,,,,,,
Which isn't to say Aqaysos is another dull Aventus knockoff. In fact,quite the opposite- while the juicy,explosively fresh lime and bergamot opening is sure to delight,it's cut with an aromatic dose of coriander,lending a metallic quality to it,at once mathematically precise and yet intriguingly otherworldly. A unique heart of little-used sansho berry,with its lemon-peppery spiciness,adds fiery depth to the sweet,juicy blackcurrant. And growing ever stronger as it dries,a robustly woodsy and musky base is given subtly bitter power with a dose of cocoa bean,which asserts itself in unexpected rhythms. Lovers of fresh,fruit-and-wood driven masculine scents will surely find a new go-to with Aqaysos. But this fascinatingly complex crystal palace hides secrets all its own.;;;;,
A brief flash of flowers - orange blossom and violet  set the mood for passion,and before we know it we're lying on a massive bed piled high with animal pelts in front of an open fire in an ancient castle. The deep,civety funk of the fur mingles with the smells of desire- salt,sweat,skin,and human fur. But an echo of the sugared flower petals and milky sandalwood still glows through the haze of musk,gently suggestive of the comfort of a lovers' bathing ritual. Innocence lost,and then regained  over and over again. This right here is the smell of human intimacy.;;;;,,,,,
She Came To Stay opens with fresh,sexy aromatic top notes of geranium,lemon and basil giving way to a richly spiced heart featuring Indonesian clove and nutmeg. In a stunning and perpetually changing drydown,deep woody notes of labdanum,patchouli and oakmoss ebb and flow with a more ephemeral forest of cedarwood and vetiver,again supplemented by the crisp lemon and basil of the opening. Both classic and modern,fresh and warm,aromatic and earthy,inspiring us,in that grandly existential tradition,to relinquish our illusions of control and simply allow the power of the fragrance to go where it may.;;;;,,
Pichola,the latest fragrance from Neela Vermeire Creations,captures this beauty and era-spanning elegance in a symphony of fresh,vibrant orange blossom,tender tuberose,sweet ylang,and tart,crisp mandarin. A princely spice blend- redolent saffron,dry cinnamon,cardamom- dance atop the citrus and flower,while a resinous woody base,sandalwood and vetiver,add a touch of deeper contrast without ever weighing down the exuberance of this magical concoction.;;;;
Musky,leathered,and skanky,they cast a mighty roar that transforms the delicate swirl of feminine florals into something more unisex with a masculine touch that will appeal to fans of the legendary Kouros or Muscs Koublai Khan. As Maai unfolds,balsamic resins awaken in the base to add subtle streaks of smokiness and honeyed sweetness. At the same time,the amber slowly turns the whole fragrance deeper,richer,and softer,coating the musky leather in its warmth and taming its skanky cry. In its drydown,Maai transforms into golden velvet with a smooth,plush mix of amber,musk,and oakmoss.;;;;
2022 Generation Man opens with an unexpectedly bright burst of juicy blackcurrant and zesty yuzu,kept cool with a spritz of fresh mint. It's a wonderful twist for those expecting a by-the-numbers oud and spices,establishing a portrait of a modern young Middle Easterner prepared to greet the global community with as much style and warmth as imposing sophistication. The oud,of course,is present; a fabulously rich heart made from prized Cambodian agarwood of such rare distinction that it can hardly be compared to the synthetically sharp or pungently sour ouds of lesser brands. This is an oud that asserts its own value,dry and distinguished,powerful and almost translucent,connecting the fragrance to an unbroken line of tradition without ever dragging the composition backwards. As a base of rich spices and warm balsamic musk swell in support,the timeless luxury of Middle Eastern perfumery blends seamlessly with modern creativity for a sexy,sophisticated scent any man could wear with confidence. ;;;,,,
As with a finely crafted dance program,his fragrance (formerly called Sensei) weaves around its central composition with graceful fluidity,revealing wondrous new aspects with each passing moment. The foundation of exceptionally high quality,largely natural ingredients: in the opening,Cuban tobacco and bitter Arabic coffee lend earthy depth to a boozy warm whiskey accord,while colonial spices enliven a mysterious heart of frankincense and myrrh,evoking visions of grand,exotic opulence. A musky amber base purrs with carefully extracted labdanum and sweet ambrette,dreamily resinous.;;;;,,,,
The Black Stone of Mecca is purported to have fallen directly from Heaven,and the ingredients of Black Gemstone are clearly intended to come as close to otherworldly as possible. Pristinely tart Italian lemon,rich Olibanum-derived incense and three hand-selected types of cedar are but a few of the treasured components,but the true centerpiece is an extraordinary myrrh,painstakingly distilled down into a resinous tar that,like the Black Stone itself,projects a presence that far exceeds its size. And like a true religious experience,Black Gemstone follows no linear path- from moment to the moment,the tartness of the lemon,smokiness of the incense and balsamic sweetness of the myrrh dance around one another with an unpredictability that promises to make each individual encounter profoundly unique.;;;;,,,
A dry,spicy rose and elegantly savory saffron hover beneath,but this is nothing like the lavish-yet-rote oud-rose pairings widely available elsewhere. Rather,these exceptional ingredients,each deserving of a starring role in a different composition,combine with smoke-saturated cade ash to build the earthly pyre from which this singularly extraordinary oud might ascend even higher.;;;;,,,,,,,
We like to think of Rose de Petra as a journey down an ancient stone canyon,with wild roses in full bloom springing from every crack in the rock. What begins as a simple,beautiful journey opens itself to mystery and wonder- that clean,bright rose we smell is no single,simple note but rather an intense rose oxide given body and mouthwatering juiciness from pomegranate and litchi. As the heart of pure,natural Bulgarian rose expands,so too do the spices- cardamom,cumin and pepper,intense enough to invigorate but light enough to place this scent a world away from a typical rose chypre. Here,yet again,we see the necessity of Lucas' uncompromising commitment to top quality ingredients,as Rose de Petra's deceptively simple formula belies an astounding integrity we would not have thought possible from reading the notes alone. Like a fully irrigated city carved into a mountain in the middle of the desert,Rose de Petra is a masterpiece of construction that will knock you over with its beauty.;;;;
KhÃ´l de Bahrein opens with complimentary waves of deep,resinous amber and an iris both richly earthy and subtly sweet. As the iris evolves to an almost candied sweetness,the violet and ambergris weave seamlessly in,lending a powdery softness that anchors without ever diluting. It is an exquisite balancing act achievable only with the finest natural iris and ambergris,highest-quality ingredients that also result in a projection and longevity impossible with mundane synthetics.;;;;,,,,,,,,
Magnolia Grandiflora Sandrine is part of a pair of fragrances,both dedicated to Grandiflora's namesake blossom. An unusual debut for a fledgling brand,but a vibrant,emotional tribute to the story behind the scents,since the other magnolia was composed by Michel Roudnitska,the son of Sandrine's mentors,Edmond and ThÃ©rÃ¨se. ;;;;,,,,,,
While Michel's magnolia is lush and sensuous,this fragrance captures magnolia on a summer morning in its first,luminous stage: a dewy rose-tinged bud,shimmering with the tangy zest of a grapefruit note.It's probably the first time I detect a chypre accord in the flower,Sandrine wrote.I didn't know it existed in nature. For me,it was the most important thing to say about this Magnolia. Of course,this flower smells of lemon,and also conjures a certain moistness,but there are also fruity notes of melon,watermelon,earthy notes,etc.;;;;,
450 gives the impression of being a rustic floral,the marriage of its notes joined together by the wind and sealed with kisses from the sun. With its brisk,aromatic citrus top notes,light rosy floral heart tempered by woods,and its ambery-musky base with a touch of incense,450 is spring in all its rawness,freshness,and warmth. In the drydown,woodsy florals are softened by Florentine orris with its powdery,earthy gentleness and the ambery-vanillic sweetness of coumarin.;;;;,,,
This extravagantly lavish bouquet is rooted in wood and tobacco notes,which give it an intriguing hint of masculinity. Lads who feel they can rock white florals could give this a try. Ladies who want to unleash their inner Bollywood diva will look no further. ;;;;,,,,,,,,,,,
Though Mohur is built on the classic Eastern accord of rose and oud,with its powdery orris accords it also manages to conjure the opulence of classic French fragrances. It is also,despite the richness of its floral accords,a unisex scent,with leather effects alluding to high tea after a polo match in the British Raj,and perhaps a whiff of fine-milled English soap.;;;;,,,,,,,
But the real surprise in Mohur is the subtle Indian pastry accord tucked in the petals of its rose garden,with notes of carrot,almond,cardamom and ambrette,lending a tender touch to this majestic composition. If Patou had been Indian,this would have been Joy...;;;;,,,,,,,
Myrrh resin is an olfactory world in itself,with bitter,ambery and balsamic facets. Guillaume,who has always had a bent for gourmand notes,amplifies those facets by matching them with a cocktail of vanillas to boost the balsamic effects. The cool burn of licorice draws the blend towards mouth-watering darkness shot with green glints of anise and milky almond plushness.;;;;,,,,,,,,
But the real surprise springs from the splash of black tea absolute that soaks the bittersweet potion with smoky,tarry,almost animalic effects,and turn into a gloriously dark,smooth leather scent.;;;;,,,,,,,,
Cashmeran,the molecule at the heart of the 05 series,is dry,radiant,warm and woody with an unexpected touch of pine resin. It's this vibrant quality that caused Geza Schoen to flash back to the Mediterranean,where he spent his childhood summers,and as a result Escentric 05 is truly a different kind of summer scent,infused with vivid,glowing warmth and the contrast of sun-baked plants and trees. ;;;;,,,,
Triad is a powerful yet refined creation which combines the extraordinary with the familiar. This is a spectacular scent whose skillful composition means that it can be enjoyed by the most experienced connoisseurs and also by those who have never experienced how amazing a real oud based scent can be.;;;;,,,,,,,,,,,,
The exclusive tincture of wild Sri Lankan oud opens the composition and is underpinned by delicate floral accords of magnolia and rose de mai in the heart of the perfume. Indonesian bouya and organic Chinese oud also make their mysterious presence felt in the core of Triad. At the base,oud from Thailand merges with creamy tonka bean,sweet and sensual benzoin and complex,animalic hyraceum.;;;;,,,,,,,,,
Arborist possesses an overwhelming and spirited opening mellowing into sun-bleached woods,malted cereals and worked-skin. A symphony of nature untamed. The core structure of Arborist is redolent of many great Scots timbers; their leaves,flowers,fruits,roots and soil being the quintessential portrait of the forest.;;;,,,,,,,,
An intriguing tarragon note snakes its aromatic way around a subdued rose and prominent orange,drying down to a skin scent with substance thanks to an authentic ambergris tincture,which adds body,roundness,and a touch of shadow to its sunny nature. ;;;;,,,,,,,,
Pine essence is a risky bet in perfumery: its medicinal,turpentine fumes conjure household disinfectants or cough drops and are particularly hard to tame. Serge Lutens,never one to shirk a challenge,opted for playing them up rather than tamping them down: the result is uncharacteristically raw,almost minimalist. In Filles en Aiguilles,the powerful resinous smell of pine is compounded by the camphor blast of vetiver and a wisp of gunpowder incense. Fruity fir balsam and the trademark Lutens candied fruit notes sweeten the blend without playing down its dark green radiance. ;;;;,,,,,,,
Relique d'Amour Eau de Parfum,Oriza L. Legrand,The smell of an old chapel in a Cistercian abbey. Cold stone walls covered with damp moss. Waxed wood of altar and old pews ornate with carvings. Linseed oil in lamps. Incense and myrrh discernible in the air. But how fresh and spicy the smell of white royal lilies on this background! Relique d'Amour is a subtle floral scent with green accents of leaves and powdery touches of yellow pollen. The beam of light breaks through the stained glass and illuminates this olfactory tumult of feelings varying from exaltation to humility and back. The silence creates a sense of the divine call.;;;;,,,,,,,,,,
Palermo's citrus grove sits alongside a rose garden,its rose bushes greened up in spring with the smell of crushed orange tree leaves and sliced fruits: lemon,lime,grapefruit,and maybe even aromatic pomelo. In its opening,an effervescent freshness of citrus juice is layered with cut citrus rinds,their zest oils conveying a more intense richness,bitterness,and spice.;;;;,,,,
On the one hand,there is ethereal,epicurean and powdery Firnat vanilla,its enthralling sweetness exalted by paradisone - a Firmenich captive molecule akin to an infinitely pure hedione - and by white,sweet and enveloping musks.;;;;,,,,,,,,
On the other,there is original and mysterious bourbon vanilla. It is slightly smoked and almost syrupy. Vetiver,African frankincense smoke,and animal and leathery twists from Asian cypriol purify it. A spice trail necessarily travels through places where unexpected exchanges occur.;;;;,,,,,,,,,
Small limited edition batch. Each bottle is shipped with a copy of the original photograph signed by Rankin.;;;;,,,,,,,,,,,,
The exquisite oils and resins of Amber Aquilaria are of such rare quality that larger scale production is impossible but they can be relished here in ever more intoxicating combinations.;;;;,,,,,,,,,,,,
Bulgarian rose,Persian incense,Iranian oud and spices from the East combine to create the fragrance of an empire. ;;;;,,,,,,,,,,
This perfume realizes this rich flora and fauna of this exotic land in a composition that has never been attempted before in perfumery. Opening with an infusion of exotic fruity flavors and heading to a narcotic floral heart before settling on a bed of exotic Ouds specially distilled for this creation,Sayat Nova is a rare once upon a lifetime opportunity to discover the most exotic poetry distilled into a stunning,resplendent and utterly hypnotic Oriental gourmand scent,the parallels of which will rarely be repeated. ;;;;,,,,,,,,,
Enter Tigerlust. Primal,sensual  sexual,even this is what happens when Siberian musk comes into contact with gyrinops from the highest mountain peaks of Irian Jaya and they go for a stroll in the Italian countryside.;;;;,,,,,,,,,,
It's a fragrance you want to embrace; to make it a part of you every bit as much as the steaming presence of an untamed lover's skin. An enticing musk,with rose and jasmine hastening it's intrigue. The top notes are discreetly citrusy,the heart notes shamelessly saucy,and the base is all ouds slooshing drunk on oud,tempered by Mysore from the mid-70s. All the most expensive/sought-after/precious perfume ingredients here,waiting to be experienced. Decadent amounts of all of them in their most pristine form (100% natural,undiluted extracts),carefully proportioned not to let any one steal the show.;;;,,,,,
On top of the robustness of the aroma,the integrity of the scent (how the heart of the fragrance remains intact down through the drydown),the artisanal execution of the distillation,you'll delight in rich fruity chords,spiced molasses,violet leaf and lilac held together by a soft chai creaminess.;;;;,,,,,,,
A special Japanese rose injects the risquÃ© with enough romantique to let the scent share the bed with the ballroom; featured here alongside a trio of Himalayan,Turkish,and Edward roses. The floral tenor is sensual and richer than the most masterful soliflores but exalted further by the musk. ;;;,,,,,,,,,,
The earthy,green and complex scent of vetiver is blended with the highest quality supporting ingredients for a perfume which redefines this well know fragrance note and frames it in a way which elevates it to the resplendent position which it truly merits.;;;;,,,,,,,,,,,
The long cherished beauty of neroli provides a burst of freshness in the opening. Indonesian and Indian Vetiver combine for a tantalizingly rich and naturalistic accord. Jasmine Sambac in the heart of the scent is combined with the unique addition of sandalwood oil which has been infused with champaca flowers and leaves. In the base of the scent,smooth and luxurious Bengalian and Indian sandalwood meet grey and white amber and oak moss for a classic foundation. The exotic sensuousness of sweet oud from Trat blends with precious myrrh to provide an intriguingly dark and opulent undertone.;;;;,,,,,,,,,,,
This spectacular evocation of the Sinharaja rainforest in Sri Lanka will inspire and enliven you with its ethereal beauty and seductive complexity. Oud Sinharaja is a tribute to the exotic delights of the fruits,flowers and plants of this exotic wonderland and the enigmatic mystery of oud.;;;;,,,,,,,,,,,
Zesty bergamot and pink grapefruit provide a bright and invigorating opening,perfectly complimented by the smooth spiciness of cardamom. The floral heart of the scent comprises luscious frangipani,exquisite magnolia and the timeless beauty of jasmine sambac. In the base of the perfume,crisp cedar wood blends with resinous labdanum and the magical aroma of wild oud from Sri Lanka.;;;;,,,,,,,,,
This is a brutal floral bouquet,abundant with honeyed sweetness and oozing with precious sap. There is a beguiling tartness as Nectary unfurls. A ripe,juicy nuance compliments narcotic blushed petals adding unfiltered naturalness. Nectary is not a preened garden; there is bravado and danger lurking at every twist and turn. To disturb the slumbering flowers would prove perilous. Crude terra cotta vases spill with fruit-baring inflorescences. Cool mineral vapors radiate from ivory walls,incubating delicate seedlings.;;;,,,,,,,,,
A study in theme and variations,Allegretto is built around Haitian vetiver that brightens and darkens as it develops,layering earthy scents,smoke,and lavender.;;;;,,,,,,,,
Tom Yum smells immediately like a steaming hot bowl of Tom Yum. Exploding with bright,citrusy lemongrass and coriander flavors,it is a perfect balance of hot,sweet,sour,and herbal. The flavors seem to go 1,000 leagues deep in each direction. The gingery heat of galangal is cooled by the soapy,lemony grassiness of coriander for a sensory experience that feels invigorating and exciting. Keeping all these explosive herbal and citrus notes in check is a backing of nutty,smoky chalood bark,and a soft sigh's worth of jasmine. Wonderful for a hot summer's day,when a dramatic twist on the traditional eau de cologne-style refreshment is called for.;;;;,,
Natsumeku is pure sunshine in a bottle. Imagine an entire Japanese yuzu tree  the variety of citrus native to Japan  pulped,distilled,and poured into a small clear bottle,and that is what it smells like. The traditional woods of Japan  silvery hinoki wood and green,minty-rosy camphor  form the subtle backing to the main players,which are the stunning liquid sunshine of yuzu (both the peel and the fruit),the dark green leaves clustered around the fruit (neroli),and the bittersweet lime twang of bergamot. Being all natural,this joyful explosion of multi-faceted citrus fruits cannot last forever,but the perfumer has cleverly extended the citrus loveliness as far as he can by way of a classically clean,soapy neroli accord that seems to go on forever.;;;;,,
In the opening,the composition explodes with a smoky incense represented by Himalayan fossilized amber resin over 35 million years old. This prehistoric substance was dry distilled,allowing it to break and release its ancient spirit. These deep and;;;;,,,,,,,,,,
dark incensy notes layer with one of the softest aromatics known to man: rose. Leathery,balsamic,slightly piney resin incense lays atop the freshly distilled virgin soul of Indian rose: Ruh Gulab,one of the most precious oils in India. A soft,silky rose cloud,covered in ancient black smoke,a flawless marriage of darkness and light.;;;;,,,,,,
Powdery and sticky sweet orris root absolute supports the rose,pulling it into the heart,where aged and soothing,chocolaty patchouli awaits. Warm,sensual orris root absolute in combination with Ruh Gulab conveys the feelings of peace and glory,and brings a burst of life into the composition.;;;;,,,,,,,
Here we have faced a juxtaposition of black and white,of life and death,and through it all,we discover in this calmly aggressive composition a harmonious balance. This olfactory poem,War and Peace,will satisfy even the most adventurous fragrance lover.;;;;,,,,,,,
The top notes open with rich spices,cinnamon and nutmeg for a warm and inviting beginning. A resinous natural incense accord built upon frankincense and myrrh continues to entice as the scent starts to dry down. The natural Moroccan orris butter has a dry dusty tonality with a gently sweet Rooibos tea like quality. The combination of the orris with the earthy Vietnamese oud is a beautifully dry and rich accord reminiscent of Egyptian desert sands. ;;;;,,,,,,,,,,,
The scent starts off amongst a lush forest and opens up with a green leaf accord combined with wormwood that creates a unique and slightly unusual herbal introduction that bringing you right to the edge of the forest. As it starts to progress,the floral notes start to softly emerge. A smooth white tuberose nuanced by rose,lavender and orris starts to come through. A dark honey emerges at the same time coating the florals in a deliciously soft sweetness.;;;;,,,,,,,,,,
It's only appropriate that the immortelle absolute that animates the heart of Mile High hails from Corsica,an island renowned for its rugged beauty. Sweet and earthy with a hint of spice,it pairs perfectly with a juicy,sharp,gently smoky pineapple note to create a stunning unisex profile that feels fresh,substantial,and undeniably seductive. Combined with the sensual depth of Venezuelan tonka bean and Indonesian patchouli,and we realize that the other connotation of Mile High hasn't been lost on Parle Moi- this is seriously sexy stuff. Like the immortelle itself,we suspect Mile High is going to be thriving for years to come.;;;;,,,,
Mxxx. is Extra. Extra animalic. Extra sensual. Extra rich  20% Extrait concentration. Spicy,smoky,woody,and animalic,Mxxx. has a massive 7% dose of specially tinctured,natural,and ethically sourced Ambergris,and Pierre d'Afrique (Africa Stone or Hyraceum) along with a sumptuous Trinidad Cacao used for the first time ever in a fragrance.;;;;,,,,,
Due to its rarity and cost,fabled Ambergris  the aged and oxidized exudate from a sperm whale  is found largely in synthetic form in most perfumes listing it as an ingredient. At once sweet,earthy,marine,and animalic,natural Ambergris imparts a subtle but unmistakable glow to any elixir it joins,adding an ineffable warmth,coziness,roundness,and sensuality that you have to smell  and feel  to understand.;;;;,,,
ERIS partnered with independent haute perfumery lab L'Atelier FranÃ§ais des MatiÃ¨res (AFDM, The French Atelier of Materials),benefiting from its expertise in sourcing,novelgreen extraction techniques,and painstaking care in aging and tincturing luxury ingredients such as Ambergris.;;;;,,,,,,,,
Mxxx.'s exclusive Cacao from Trinidad and Tobago,selected by both perfumer Antoine Lie and a French artisanal chocolatier for its dark,spicy character,was processed with its cocoa butter intact. This choice,along with the use of a green,organic solvent and AFDM's ultrasound technology extraction at a low temperature,results in a Cacao with its full spectrum of aromatic molecules.;;;;,,,,,,
When creating Meraki,Rasei Fort certainly wasn't attempting to recreate the scent of Nombre Noir,which he owns but has never dared to open. However,based on the notes,he endeavoured to create a vintage-inspired white floral heavily based around the delicate Osmanthus flower that is somewhat synonymous with the original. It's a tribute to what Nombre Noir represents- the passion and sacrifices made by perfumers and their unrelenting fervour to create fragrances that are individualistic and unique.;;;;,,,,,,,,
If you love the rich warmth of this spicy oriental and just don't know how to quit it,then take heart  Roja Dove has heard you. Creation-E Parfum Cologne is a much lighter,fresher take on the original eau de parfum that's perfect for both those early office meetings and stupid hot weather. ;;;;,,,,,,,,,,
Personalize your fragrance: Enter your custom message or name at and we'll have Le Labo print it on your label.;;;;,,,,,,,,,,,,
Soft,powdery whispers of plumeria,full of narcotic,head-spinning,creamy floral notes,uplift the olfactory senses. Orris butter absolute further enhances its powdery splendor,making its floral soul even more expansive,deeper and longer lasting. A gentle touch of apricot,with its honeyed flesh and velvety suede skin,boosts the plumeria's fruity aspect. It adds juicy sweetness and an almost gourmand nuance to the top notes.;;;;,,,
Creamy floral notes slowly sink into buttery sandalwood. Wild aroma of civet adds a dash of animalic depth to the arrangement. Clouds of vanilla emerge from hiding behind the woods and deliver delicious olfactory joy.;;;;,,,,,,,,,,,,
Dense and incensey myrrh embraces oriental notes. Rich and resinous,this time-honored ingredient blends perfectly with dark and sooty vetiver. Virginian cedarwood provides a smoky,woody texture that perfectly completes this lush,luxurious composition and creates a well-balanced earthy backbone.;;;;,,,,,,,,,
The result? Delicate yet assertive,classic yet modern,light as spring yet redolent of a tobacconists's leather-and-wood scented atelier,Cuir de Chine is a seamless balancing act of opposites that smoothly draws you into its elegant,romantic world that almost incites visions of sepia-tinted daguerreotype photographed flowers.;;;;,,,,,,,,
As Cuir de Chine dries down and continues to bloom on skin,the oscillation between fresh and funky continues apace,as a fatty and indolic jasmine and bright herbal clary sage echo the osmanthus and tobacco leaf pairing to create what almost smells like an aromatic Chinese tea softened with milk,or curiously,even perfume-scented money.;;;;,,,,,,,,
Forged with elegant brilliance,TOM FORD METALLIQUE mesmerizes its admirers with a pulsating flash of modern,resolute femininity,willful,luminous and in full bloom. A high-shine armor of addictive aldehydes envelop its reverberating core of sensuous white flowers,like a metal Venus in fleurs.;;;;,,,,,,,
Like an armored embroidered dress,the metallic sheath of lighter-than-air aldehydes opens the scent like a second skin,the collision of crisp vert de bergamote and pink peppercorn further steeling the insatiability of the first impression.;;;;,,,,,,,,,,
Beneath its cool veneer,Metallique's floral heart is amplified by juxtaposing delicate white blossoms of aubepine and muguet with the narcotic-like nectar of heliotrope.;;;;,,,,,,,,,,,
But if you love tuberose,don't worry,FougÃ¨re Emeraude hands it to you in a hefty 15 percent dose,with all of its sweet creaminess and subtle green accents. No waiting in the wings for this oneit gets right down to business at first sniff. It's supported by a Moroccan mimosa absolute,honeyed and bright,extracted at Les IndÃ©modable's lab from hand-selected flower buds only  no stems allowed.;;;;,,,,,,,
Portrayal embodies an artist's ability to reconnect fragments from different times and places. When society is barren,they are able to transport themselves and immerse in the freedom of rebellion that can compare to London's Roaring 1920's and New York's grooving 1980's. With the flamboyant,glamorous and often disaffected companionship of Bright Young People,the artists lose themselves. ;;;;,,,,,,,,,
Musc des Sables opens with a fresh,bright mandarin note that seamlessly transitions into cozy,spiced opulence. Ambergris in contemporary,even luxury perfumes,is mostly synthetic due to its price and scarcity,but the ambergris at Musc des Sables' hearttinctured from authentic ambre gris (grey amber) through a 6-month process done specifically for Les IndÃ©modables at its founders' labpulsates with sensuality and complexity. Anyone who's smelled this classical perfume ingredient in its authentic form in vintage or bespoke formulas will recognize it here as the real deal for its earthy,animalic and even tabacco-like warmth that leaves its trace hours into wearing it. ;;;;,,,,,,
Perhaps the first thing you notice is coolness,as if elegance turned itself into silk,shimmering in the light. The multifaceted mimosa bloom,so fresh and representative of that honeyed floral you'd think its scent was radiating from under your nose by the warmth of the sun,combines with sultry jasmine and bright ylang-ylang. Maybe the violet leaves or clary sage that keep the composition fresh catch your attention first,or the huge amount of the most expensive perfume ingredient in the worldorris,the sensual backdrop to Iris Perle that is at once earthy,cool,sensual,and creamy.;;;;,,,
Whatever it is you notice first,or all at once,these are not ordinary ingredients. They're the Platonic Ideal,whose journey from plant to bottle was ushered with experience and care by their founders. The Moroccan mimosa absolute in Iris Perle is extracted in their lab from carefully hand-selected flower buds only,whereas the entire flower and stem is usually used in other perfumes with mimosa notes. This accounts for its smooth,rich floralcy that edits out unwanted herbaceous qualities. And from the time it's planted until it's extracted,it takes seven years for orris root to deliver its oil,like a pearl in the world of perfumery. Iris Perle gets its French orris fromgrand cru crops exclusive to Les IndÃ©modables.;;;;,,,,,
Rose de Jamal is also unusual for its massive 5.5% dose of Moroccan rose absolute. In addition there are 500 grams of freshly harvested rose buds per bottle of Rose de Jamal  the equivalent of more than 100 roses. Smelling Rose de Jamal might also produce the feeling of smelling rose for the very first time,Lie has suggested in interviews,because its realness is radically different from the scent of synthetically constructed rose accords in most perfumes with rose. The rose here is lush,velvety,almost suede-like,subliminally pulling you into its mysterious heart even as you might only be smelling its lush beauty. ;;;;,,,,,,,
What also makes Rose de Jamal special is its name: named after the Les IndÃ©modable exclusive partner in Morocco,Jamal Chaboun,who produces this special Rose harvest (among other ingredients). Jamal owns his plantations,controls the crops,and has mastered extraction processes.;;;;,,,,,,,,
